Employer_OrganizationName,Employer_EmployerName,Employer_Telephone,Employer_Email,email_quality
สจจ.น่าน,หจก.เชียงแสงลำปาง (สาขาน่าน),0817076351,clam1_hinonan@hotmail.com,1
สจจ.นครราชสีมา,บริษัท ต้องบุญปิโตเลียม จำกัด,044-451555,supattra.s@tbp.co.th,1
สจจ.ขอนแก่น,เอ็น พี มอเตอร์,0925691519,np-matorkk@hotmail.com,1
สจจ.เพชรบูรณ์,บริษัท มิตซูออโต้เพชรบูรณ์ จำกัด,056-713855,jems@gmail.com,1
สจจ.เพชรบูรณ์,บริษัท คูโบต้าเพชรบูรณ์ จำกัด,056-566188,hr_kobota@hotmail.com,1
สจจ.สุรินทร์,บริษัท วรรณเทพยนต์ จำกัด (สำนักงานใหญ่),"044-530700,044-531700",wannathep@gmail.com,1
สจจ.สมุทรปราการ,บริษัท เอเชียน มารีน เซอร์วิสส์ จำกัด (มหาชน) สนง.สมุทรปราการ,02 815 2060,patipat_hr@asimar.com,1
สจจ.นครปฐม,บริษัท บลูริบบอน มาร์เก็ตติ้ง จำกัด,"034-978411 ,084-0883684",darunee2hr@gmail.com,1
สจจ.นนทบุรี,บริษัท เค แอนด์ พี ไฮดรอลิค จำกัด,02-9833517,hr@gmail.com,1
สจจ.ราชบุรี,บริษัท  แทบทับ เอ็นจิเนียริ่ง จำกัด (สาขาราชบุรี),032-720666-8,thiti.a.jirak@gmail.com,1
สจจ.สิงห์บุรี,บริษัท โตโยต้าสิงห์บุรี จำกัด,036-699399,suchung27@hotmail.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๗,บริษัท ชลิต อินดัสทรี จำกัด,028026236-9,dokyunkim.pop@gmail.com,1
สจจ.สิงห์บุรี,ห้างหุ้นส่วนจำกัด กิตติเครื่องเย็น (สาขาสิงห์บุรี),036-512173,suchung27@hotmail.com,1
สจจ.ภูเก็ต,เดลี่ซันไชน์ น้ำดื่ม จำกัด,0630781738,accdailypetdsh@gmail.com,1
สจจ.พะเยา,บริษัท โตโยต้า สาขาพะเยา,054-412036-9,xxx@xxx.com,0
สจจ.เชียงใหม่,บริษัท มาสด้าเชียงใหม่ จำกัด สำนักงานใหญ่,053-142521,sangar2557_new@hotmail.com,1
สจจ.อยุธยา,บริษัท  ณุ เดอะคาร์ จำกัด,0632674978,xxxx@xxxx.co.th,0
สจจ.ปทุมธานี,บริษัท เอ็นทีพี.มอเตอร์ จำกัด,092-1393456,amp-nantawan@hotmail.com,1
สจจ.ปทุมธานี,บริษัท ต. ไทยเจริญ เซอร์วิส จำกัด (สาขาปทุมธานี),02-5670083-4,siravit.maneenetr@gmail.com,1
สจจ.ปทุมธานี,บริษัท บางกอกอินเตอร์เนชั่นแนล สโตน จำกัด (ปทุมธานี),"025012881,091-5761271",prapat@bangkokinterstone.com,1
สจจ.อุบลราชธานี,บริษัท โตโยต้าดีเยี่ยม จำกัด,"088-8111111,089-6363636",jaaeberu@gmail.com,1
สจจ.นครนายก,ห้างหุ้นส่วนจำกัด ปิยะวรรณ ออโตเมชั่น,037-312547,piyachatjanla@yahoo.co.th,1
สจจ.สงขลา,บริษัท เอ็น เอส โคลด์ สโตเรจ จำกัด,074-336990-2,NS_JOB@HOTMAIL.COM,1
สจจ.สุราษฎร์ธานี,บริษัท ทักษิณปาล์ม (2521) จำกัด,077200654-8,panaree_koi@hotmail.com,1
สจจ.นราธิวาส,ร้าน โคกเคียน รีไซเคิล,083-8861694,nannyrecycle@gmail.com,1
สจจ.สระบุรี,บริษัท สระบุรีจรูญรัตน์ จำกัด (มิตซูบิชิ),036-214444 ต่อ 198,boonsong2512@gmail.com,1
สจจ.ฉะเชิงเทรา,บริษัท สมาร์ทเพลส 304 ไอพี3 จำกัด,033054054,natthakit_p@suankitti.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๕,บริษัท เอ็มจี พารากอน เซลล์ จำกัด,029905941,mgparagonsales@gmail.com,1
สจจ.อยุธยา,บริษัท ทีอาร์ดี เอ็นจิเนียริ่ง แอนด์ ซัพพลาย จำกัด,035750131,TRD.SALE.ENG@Gmail.com,1
สจจ.ปทุมธานี,บริษัท ไทสัน โพลทรี่ (ไทยแลนด์) จำกัด,020948999,piyanuch.pan@brf-asia.com,1
สจจ.ระยอง,บริษัท สยามโกลบอลเฮ้าส์ จำกัด,038-680588-9,Hrry.CBHE@gmail.com,1
สจจ.มุกดาหาร,บจก. มิตรศิลป์ วิน (สำนักงานใหญ่),042-633341/062-2014511,Mitsinwin@gmail.com,1
สจจ.มุกดาหาร,บริษัท ชัยรักษ์มอเตอร์ จำกัด สาขามุกดาหาร,042-632748-9/081-6614652,chairuk_muk@hotmail.com,1
สจจ.สมุทรสาคร,บริษัท ปทุมวันฟอร์คลิฟท์ จำกัด สาขาสมุทรสาคร,02-4310536-7,ptwforklift@yahoo.com,1
สจจ.ชุมพร,บริษัทหลังสวนออโตโมบิล,077510955,langsuan.honda9999@gmail.com,0
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๑,บริษัท มหาชัยเคมี จำกัด,0-3446-8012,hr@mahachaichemicals.com,1
สจจ.อยุธยา,บริษัท เอช เซม มอเตอร์ จำกัด,035958599,ayu_hr@hyahenglee.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๔,บริษัท  วี.เอ็ม.เอส.คาร์ เชลล์  จำกัด,-027335500,hr_mitsu-nw@vgroupcars.com,1
สจจ.ร้อยเอ็ด,ห้างหุ้นส่วนจำกัด เป็งจิวเกษตร สาขาร้อยเอ็ด,0933213020,kubota101@gmail.com,1
สจจ.อุดรธานี,บริษัท อุดรเซ่งหลีไถ่มอเตอร์จำกัด,0906535544,tong.babypooh@hotmail.com,1
สจจ.ลำปาง,ห้างหุ้นส่วนจำกัด อรุณทอง,054227501,-@hotmail.com,0
สจจ.พิษณุโลก,บริษัท โชคชัยมอเตอร์ จำกัด (พิษณุโลก),055-213946,111@hotmail.com,0
สจจ.ราชบุรี,บริษัท สยามพรีเสิร์ฟฟู้ดส์ จำกัด,"032-397117,397118,375239,375240,397666",hrspf@ramasiam.com,1
สจจ.สระบุรี,บริษัท เบตเตอร์ เวิลด์ ทรานสปอร์ด จำกัด,0819948326,anantachai.eec@gmail.com,1
สจจ.พิจิตร,บริษัท คูโบต้าทั่งทอง พิจิตร,0831121582,ktiphum@gmail.coom,1
สจจ.สระบุรี,บริษัท สยามมิชลิน จำกัด (สระบุรี),036-373276-86 ต่อ1514,kaewtrakul.chanchai@th.michelin.com,1
สจจ.ร้อยเอ็ด,บริษัท โตโยต้า ร้อยเอ็ด ผู้จำหน่ายโตโยต้า จำกัด,043515555,toyota101hight@gmail.com,1
สจจ.ชุมพร,ชุมพรฮอนด้าออโต้โมบิล  จำกัด,077596550,lowclass_21@hotmail.com,1
สจจ.ชุมพร,บริษัท คูโบต้า มิตรแท้ชุมพร จำกัด(สาขาชุมพร),077-979211 ต่อ 14,hr_kmc@hotmail.com,1
สจจ.นครราชสีมา,บริษัท ยูโร พีทูพี ไดเรคท์ (ประเทศไทย) จำกัด สาขานครราชสีมา,044-342642,asnkm@forbes.co.th,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๙,บริษัท เวิลด์ แทร็คเตอร์(1996) จำกัด,02-551-1021,xxx@xxx.xxx,0
สจจ.สงขลา,บริษัท เอ.ที.มอเตอร์เซลส์ จำกัด (หาดใหญ่),074-259555ต่อ22,at.jantamas@gmail.com,1
สจจ.สงขลา,ร้านฮอนด้า ออโต้ หาดใหญ่ (โดยนายนิวัฒน์  รัตนเกษร),081-7665549 / 074-366508,amonrat3465@gmail.com,1
สจจ.สงขลา,บริษัท เอ็นจีวีพาวเวอร์  จำกัด,074501501,tippawan@ngvpower.co.th,1
สจจ.นครราชสีมา,บริษัท ตงฮั้วบัวใหญ่ (1994) จำกัด,0-4429-2222 ต่อ 2142,tossporn@tonghuarioe.com,1
สจจ.เชียงราย,ร้านอัศวินยานยนต์ 1991 (โดยนายอัศวิน วงค์เทียนชัย),053-716526,cherry_5005@hotmail.com,1
สจจ.นครศรีธรรมราช,บริษัท นาวาพาราวู้ด จำกัด,"075-445750,081-9706407",hr.navaparawood@gmail.com,1
สจจ.นครพนม,อู่ ส.เจริญธาตุพนม,088-3134042,xx.xx@xx.xx,0
สจจ.ชัยนาท,บริษัท สยามโกลบอลเฮ้าส์ จำกัด สาขาชัยนาท,056-014200,hr.cn@globalhouse.co.th,1
สจจ.กาญจนบุรี,โปรฟอร์แมช  จำกัด,-,xxx@gmail.com,0
สจจ.สมุทรปราการ,บริษัท สหเทคโน เซอร์วิส (2017) จำกัด,099-782-3699,xxx@xxx.com,0
สจจ.สมุทรปราการ,บริษัท แสตนดาร์ดแคน จำกัด (สำหรับเจ้าหน้าที่),0-2312-2177,xxx@gmail.com,0
สจจ.ยโสธร,ไมด้า แอสเซ็ท จำกัด (มหาชน) สาขายโสธร,045712466,yso@doe.go.th,1
สจจ.เพชรบูรณ์,บริษัท ถกลศรี จำกัด,061-413-8092 056-713 794,peerayaporn.a@thakolsrifarm.com,1
สจจ.ราชบุรี,บริษัท พรีมา เบฟเวอเรจ จำกัด,032206316,nidnoiprima@gmail.com,1
สจจ.ชุมพร,บริษัท ชุมพรอุตสาหกรรมน้ำมันปาล์ม จำกัด (มหาชน),077-611000 ต่อ 130-133,Kwanyeun@cpi-th.com,1
สจจ.ยโสธร,บริษัท ไทยฮั้วยางพารา จำกัด (มหาชน) สาขายโสธร,0892814772,yso@doe.go.th,1
สจจ.สมุทรปราการ,บริษัท บี.บี.เค.อินดัสตรี จำกัด,02-727-8570-5,bkk600302@gmail.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๕,บริษัท สยาม วอลล์ แมนูแฟคเจอริ่ง จำกัด,0982510158,siamwall3d@gmail.com,1
สจจ.สงขลา,บริษัท พิธานพาณิชย์ จำกัด (ฝ่ายรถจักรยานยนต์สาขาหาดใหญ่),090-4950030,recruit.ptg@hotmail.com,1
สจจ.ระยอง,บริษัท คอทโก้ เมททอลเวอร์คส จำกัด (สาขาระยอง),038-606236-8,patchareeya.csv@gmail.com,1
สจจ.สงขลา,บริษัท เอเซียอุตสาหกรรมโฟม จำกัด,074-210217,squatter001@yahoo.co.uk,1
สจจ.สงขลา,บริษัท สยาม ไฟเบอร์บอร์ด จำกัด,074-291111 ต่อ 751,hrsfc@siamfibreboard.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๒,บริษัท  สหมิตรถังแก๊ส จำกัด  (มหาชน)/สนญ.,02-8954139-54,onanong@smpcplc.com,1
สจจ.ปทุมธานี,บริษัท อีแกท ไดมอนด์ เซอร์วิส จำกัด,025290800,watcharaporn.y@egatdiamond.co.th,1
สจจ.ปทุมธานี,บริษัท ไซโก พรีซีชั่น (ประเทศไทย) จำกัด,025292162,k.pimjai@seiko-spt.co.th,1
สจจ.ชลบุรี,บริษัท ดับเบิ้ลยูบีแอลพี จำกัด (สาขาชลบุรี),038-480020,xxx@xxx.com,0
สจจ.ร้อยเอ็ด,บริษัท มีไอเดีย เซ็นเตอร์ & ซัพพลาย จำกัด (สาขาร้อยเอ็ด),043-518259,pattrickkab@hotmail.com,1
สจจ.ราชบุรี,บริษัท สยามพรีเสิร์ฟฟู้ดส์ จำกัด,"032-397117,397118,375239,375240,397666",hrspf@ramasiam.com,1
สจจ.สมุทรสาคร,บริษัท ไทยรวมสินพัฒนาอุตสาหกรรม จำกัด(สาขาสมุทรสาคร),034-816444 ต่อ 4634,kanyapat.keawsingud@thaiunion.com,1
สจจ.สมุทรสาคร,บริษัท อนุสรณ์มหาชัยซูริมิ จำกัด,034-414161-3,wilasinee.wp@hotmail.com,1
สจจ.มุกดาหาร,บริษัท เกียรติมุกดา พรีเมี่ยมไอซ์ จำกัด,083-5996655/086-4551077,kings999mukdahan@gmail.com,0
สจจ.มุกดาหาร,บริษัท  พรีเมียร์ ควอลิตี้สตาร์ช จำกัด,0-4264-3818-9 ต่อ 11/086-6345600,pqstarch.hr@gmail.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๓,บริษัท ไพลิน เลเซอร์ เมทเทิล จำกัด,027473795-8,hr@pailingroup.net,1
สจจ.สงขลา,บริษัทแปซิฟิคแปรรูปสัตว์น้ำ จำกัด,074-303999,sofiya@pfp-pacific.com,1
สจจ.สุราษฎร์ธานี,บริษัท เสริมสุข จำกัด (มหาชน) สุราษฎร์ธานี,061-3986738 (สุราษฎร์ฯ) / 088-3952755 (ภูเก็ต),Sittichai.Chaiya@sermsakpic.com,1
สจจ.อยุธยา,บริษัท ไทยนิปปอนฟู้ดส์ จำกัด,035330046,pennapa.m@tnf.co.th,1
สจจ.ปทุมธานี,บริษัท กรีนสปอต จำกัด,02-7359800,recruitgroup@greenspot.co.th,1
สจจ.เชียงใหม่,หจก.ไทยรุ่งกิจ อลูมิเนียม,053-410999,thairungkit@gmail.com,1
สจจ.พะเยา,หจก.อโกรโปรเกรส,054-412841,xxx@xxx.xxx,0
สจจ.ชลบุรี,บริษัท ทีเบลโก้ จำกัด (สาขาชลบุรี),038-389555,123@hotmail.com,0
สจจ.ชลบุรี,บริษัท สยาม คอนโทรล เทคโนโลยี จำกัด,033-129998,123@hotmail.com,0
สจจ.ลำพูน,บริษัททีเอสพี-ที จำกัด (ลำพูน),053-552377-80,info@tsp-t.com,1
สจจ.ระนอง,บริษัท ระนองโฟรเซ่นฟู้ดส์ จำกัด,077-981700,hr@rff.co.th,1
สจจ.สมุทรปราการ,บริษัท ท็อป โพลิเมอร์ จำกัด,02-0466700,personnel@top-poiymer.com,1
สจจ.กำแพงเพชร,บริษัท น้ำตาลทิพย์กำแพงเพชร จำกัด,055-718300,kptdoe@gmail.com,1
สจจ.สงขลา,บริษัท 2 เอส เมทัล จำกัด (มหาชน) สาขาหาดใหญ่,074-801283/0817389623,hr@ss.co.th,1
สจจ.อยุธยา,บริษัท คอสมอส บริวเวอรี่ (ประเทศไทย)จำกัด (อยุธยา),035744920-6,Surakit.P@thaibev.com,1
สจจ.เชียงใหม่,บริษัท แมชเทค อินเตอร์เนชั่นแนล จำกัด,"053-921299 ,063-7421409",hr@meshtec.com,1
สจจ.เชียงใหม่,บริษัท เชียงใหม่เฟรชมิลค์ จำกัด,053-817364-5,info@cmfreshmilk.com,1
สจจ.สมุทรปราการ,บริษัท ฮะฮงสตีล จำกัด,"02-7093768, 085-9307929",xxx@hotmail.com,0
สจจ.นนทบุรี,บริษัท ดีวินิตี้ ดีไซน์ แอนด์ ดีเวลลอปเม้นท์ จำกัด,02-9261021,divinity.ddd@gmail.com,0
สจจ.สุรินทร์,หจก.สหะกลโอเอ,044-520447,Sahakoloa@gmail.com,1
สจจ.ภูเก็ต,อิ้ง วอเตอร์,087-4184166,cybercare.phuket@hotmail.com,1
สจจ.นราธิวาส,ร้านนราอิงค์,073-521600,xxx@xxx.com,0
สจจ.นราธิวาส,ร้านนราอิงค์,0-7352-1600,xxxx@hotmail.com,0
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๓,บริษัท ซีพีเอส แมนูแฟคเจอร์เรอร์ จำกัด,027495527,ahtitaya1@gmail.com,1
สจจ.ระยอง,บริษัท เค.เอส.ก๊อปปี้ ออโตเมชั่น จำกด,038-898931,111@hotmail.com,0
สจจ.ระยอง,เทอร์โบ แมชชีนเนอรี่ (ไทยแลนด์)จำกัด,038691287,rosssarin@turbo-machinery.co.th,0
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๕,บริษัท แฟนซีเปเปอร์ จำกัด,02-9942879,adnin@fancypaper.co.th,1
สจจ.นราธิวาส,ร้านเพื่อนแอร์เซอร์วิส,"0-7351-1113,08-87880256",xxxx@hotmail.com,0
สจจ.สงขลา,ส.ชัยปรีดา จำกัด,074321034-6,viva_hotel@hotmail.com,1
สจจ.สุราษฎร์ธานี,บริษัท เพอร์ฟอร์แม็ก เทรดดิ้ง จำกัด,077-216875,k.thanya@hotmail.com,1
สจจ.ปทุมธานี,บางไผ่อะไหล่ ปทุมธานี,0865287947,n_i_c_28@hotmail.com,1
สจจ.เชียงใหม่,บริษัท แอค คาส กรุ๊ป(เชียงใหม่) จำกัด,053-282543,chiangmai@accasgroup.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๕,บริษัท ไซน์ แอมเทค จำกัด,02-0150546-7,xxx@xxx.xxx,0
สจจ.อุบลราชธานี,ห้างหุ้นส่วนจำกัด อาร์ เอส ที เอเชียแปซิฟิค,0835637674,t311728@gmail.com,1
สจจ.มหาสารคาม,บริษัท 09 น้ำแข็งหลอด จำกัด,043-758111,09ice.co@gmail.com,1
สจจ.ฉะเชิงเทรา,บริษัท ยูอาร์ แพ็คเกจจิ้ง อินดัสตรี้ จำกัด,0625324484,xxx@xxx.xxx,0
สจจ.สมุทรสาคร,บริษัท ไทยรวมสินพัฒนาอุตสาหกรรม จำกัด(สาขาสมุทรสาคร),034-816444 ต่อ 4634,kanyapat.keawsingud@thaiunion.com,1
สจจ.ราชบุรี,บริษัท ไทยโคโคนัท จำกัด (มหาชน),032-741799,hr.fac@thaicoconut.com,1
สจจ.ปทุมธานี,บริษัท ไฮ คิว พลาส จำกัด,02-9081148-9,arunee@hiqplas.com,1
สจจ.สงขลา,พีบีดี หาดใหญ่ เซลล์ แอนด์ เซอร์วิส (โดยนายวิษณุ  สุขแก้ว),074-205631,wissanu-pbd@hotmail.com,1
สจจ.สงขลา,บริษัท วายาโม จำกัด,074-498518-20,wayamo@windowslive.com,1
สจจ.สงขลา,บริษัท พรีเมียร์ซิสเต็มเอ็นจิเนียริ่ง จำกัด,074-222900,chaisin@sritranggroup.com,1
สจจ.สงขลา,บริษัท เค.เอส.พี.อ๊อคต้าเทค จำกัด,074-346011-3,iss.jank@gmail.com,1
สจจ.สงขลา,บริษัท ไฮแคร์ อินเตอร์เนชั่นแนล จำกัด,074-552654-6,smartjobska@gmail.com,1
สจจ.ตราด,มารีน่า แซนด์ รีสอร์ท,0624813745,Patcharee@siam-royal-view.com,1
สจจ.ระยอง,บริษัท คอทโก้ เมททอลเวอร์คส จำกัด (สาขาระยอง),038-606236-8,patchareeya.csv@gmail.com,1
สจจ.สมุทรปราการ,บริษัท เค วาย อินเตอร์เทรด จำกัด สาขาสมุทรปราการ,021832729-31,hr_kyi@hotmail.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๕,บริษัท ไพรอนันต์  พาวเวอร์ จำกัด,02-1026598,xxx@xxx.xxx,0
สจจ.สุราษฎร์ธานี,บริษัท แสงอรุณพาวเวอร์ แอนด์ อิเล็กทรอนิกส์ จำกัด,083-8573313,kpiyadech@gmail.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๙,บริษัท ซีพี รีเทลลิงค์ จำกัด (สนง.ใหญ่),02-781-6800,cprhuman@gmail.com,1
สจจ.กาฬสินธุ์,ห้างหุ้นส่วนจำกัด  ประชาพัฒน์,043010349,xx@xxx.com,0
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๕,บริษัท หญ้าหวานกรุ๊ป 888 จำกัด (สระบุรี),0986151996,prsan19999@gmail.com,0
สจจ.เพชรบุรี,บริษัท แคล-คอมพ์ อีเล็คโทรนิคส์ (ประเทศไทย) จำกัด (มหาชน) สาขาเพชรบุรี,032-561475,Orathai@calcomp.co.th,1
สจจ.กาญจนบุรี,บริษัท อาร์.ซี.เทรดดิ้งแอนด์เอ็นจินเนียริ่ง จำกัด (กาญจนบุรี),034-698648,wasana@rc-trading.com,1
สจจ.นครศรีธรรมราช,บริษัท นาวาพาราวู้ด จำกัด,"075-445750,081-9706407",hr.navaparawood@gmail.com,1
สจจ.ราชบุรี,บริษัท พรีมา เบฟเวอเรจ จำกัด,032206316,nidnoiprima@gmail.com,1
สจจ.ประจวบคีรีขันธ์,ห้างหุ้นส่วนจำกัด ธนพล ที.พี.2000,082-2961043,thanaphon_tp2000@hotmail.com,0
สจจ.สงขลา,บริษัท เซฟสกิน เมดดิคอล แอนด์ ไซเอนทิฟิก (ประเทศไทย) จำกัด,074-410100,wiwat.rattanaboon@hyh.com,1
สจจ.สงขลา,บริษัท อี ฮับ ฮวด จำกัด,074 - 292182 - 4,e_hup_huat@hotmail.com,1
สจจ.ปทุมธานี,บริษัท บางกอกไฟถนน จำกัด,02-5291251,bkrthailand@hotmail.com,1
สจจ.ปทุมธานี,บริษัท วุ้ย ล้ง ไลท์ติ้ง จำกัด,02-9020788,wailung@ksc.th.com,1
สจจ.สระแก้ว,สหกรณ์โคนมวังน้ำเย็น จำกัด,0-3725-2876,ske.jobbox@gmail.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๒,บริษัท เอส. พี. พลาสติก อินดัสตรี จำกัด,02-4260595-6,xx_xxx@hotmail.com,0
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๒,บริษัท สันติทิพย์ อุตสาหกรรม จำกัด,02-8725463,xxx_xx@xxx.xx,0
สจจ.ชุมพร,บริษัทโชคธนัท บรอดแบนด์,0622255941,papazz_2516@hotmail.com,1
สจจ.กาญจนบุรี,มัลลิกา ร.ศ.124 จำกัด,034540884,xxx@gmail.com,0
สจจ.บุรีรัมย์,บริษัท โฮมเมก้ามาร์ท จำกัด,044-602602,xxxxx@xxx.xx,0
สจจ.ชุมพร,บริษัทชุมพรรวมช่าง,077571388,qew2517qaw@gmail.com,1
สจจ.ประจวบคีรีขันธ์,บริษัท เนเชอรัล ฟรุต จำกัด,"032-622700-1,",HR@naturalfruit.co.th,1
สจจ.ประจวบคีรีขันธ์,ยนตร์ชัยอิเล็กทรอนิกส์,032-622448,koy_pkn@hotmail.com,1
สจจ.สิงห์บุรี,บริษัท แอโรกรีต(ประเทศไทย) จำกัด,036-510514,info@aerocretethai.com,1
สจจ.สมุทรสาคร,บริษัท รุ่งสินโภคภัณฑ์ จำกัด(สมุทรสาคร),034-839504,JuntiBoonin@gmail.com,1
สจจ.สมุทรสาคร,บริษัท พัทยาฟู้ดอินดัสตรี จำกัด (สาขาสมุทรสาคร),034-815283,Sirinan@patayafood.com,1
สจจ.สมุทรสาคร,บริษัท ไทยรวมสินพัฒนาอุตสาหกรรม จำกัด(สาขาสมุทรสาคร),034-816444 ต่อ 4634,kanyapat.keawsingud@thaiunion.com,1
สจจ.สมุทรสาคร,บริษํท ร.มังกรโฟรเซ่นฟู๊ด จำกัด,034-871220-1,in_learning@hotmail.com,1
สจจ.สมุทรสาคร,บริษัท ทีพีเค อินเตอร์ฟู้ดส์ จำกัด(สมุทรสาคร),092-0479992,admini@tpkinterfoods.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๔,ไทยเบิร์นเนอร์ อินดัสเตรียล ฮีต จำกัด,027938000,hr@thaiburner.co.th,1
สจจ.นครปฐม,บริษัท เคเอส พีวีซี อินดัสเทรียล จำกัด,034-231208,mindo_judo@hotmail.com,1
สจจ.นครปฐม,ห้างหุ้นส่วน จำกัด ประจักษ์วัสดุก่อสร้างดอนตูม,034-987770-3,xx@xx.x,0
สจจ.ราชบุรี,บริษัท พีเอ็มเค ไดมอนด์กลาส จำกัด,032-330431-5,nungruethai.j@pmkdiamondglass.com,1
สจจ.ประจวบคีรีขันธ์,บริษัท กุยบุรีผลไม้กระป๋อง จำกัด,032-681-578,suchatpa@kuiburifruit.co.th,1
สจจ.ภูเก็ต,บริษัท ภูเก็ต สหพัฒนกิจ วิศวกรรม จำกัด,076-540556,xxx.xxx@xxx.com,0
สจจ.ประจวบคีรีขันธ์,บริษัท เลิศพรธุรกิจ จำกัด สาขาประจวบฯ,0957412062,add_dona1@hotmail.com,1
สจจ.ชุมพร,บริษัท กลุ่มปาล์มธรรมชาติ จำกัด,077-529800,aunnoy@msn.com,1
สจจ.นนทบุรี,บริษัท พีพีที ทรัพย์ พลาย เอ็นจิเนียริ่ง จำกัด,02-8838405,kanyappt@gmail.com,1
สจจ.นนทบุรี,บริษัท มายดีไซน์ แอสโซสิเอต จำกัด,02-9689955,Info@mine.co.th,1
สจจ.เชียงใหม่,ร้านเน็ตเวิร์ค คอมมูนิเคชั่น ซิสเต็ม,0958797897,banchongw@hotmail.com,1
สจจ.เชียงใหม่,บริษัท อาหารภาคเหนือ จำกัด,053464034,Hrmanager@northernfood.co.th,1
สจจ.สงขลา,บริษัท ห้องเย็นโชติวัฒน์หาดใหญ่ จำกัด (มหาชน) (สำนักงานใหญ่),"074-222333 ต่อ 105 , 107",recruit.hr@kst-hatyai.com,1
สจจ.สมุทรปราการ,บริษัท พี.เอส.ที.วิศวกรรม จำกัด,"02-1381677, 081-6131010",xx@gmail.com,0
สจจ.นนทบุรี,บริษัท อาร์คานิคส์ จำกัด,083-7088777,archanics@hotmail.com,1
สจจ.สมุทรปราการ,บริษัท สามัคคี สลักภัณฑ์ จำกัด,02-7578181-2,xx@gmail.com,0
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๕,บริษัท  ยูนิแชมป์ จำกัด,0-2181-0039-44,unichamp@gmail.com,1
สจจ.สุรินทร์,หจก.ไทยนิยมโทรทัศน์,044-511380,TNTSURIN@HOTMAIL.COM,1
สจจ.อยุธยา,บริษัท ไทยเมอร์รี่ ไบโอ เอ็นเนอร์ยี่ จำกัด,085-4872933,rattanateeratarn@gmail.com,1
สจจ.สมุทรปราการ,บริษัท เซอร์วิส ดี เอ็นจิเนียริ่ง จำกัด,0863635408,service.d.2016@gmail.com,1
สจจ.นครสวรรค์,บจก.เจริญภัณฑ์ โฮม แอนด์ ลิฟวิ่ง เซ็นเตอร์,056-313232-3,doe_nsn@yahoo.co.th,1
สจจ.นครปฐม,บริษัท เอฟ - พลัส จำกัด,034981555,anucha@f-plus.co.th,1
สจจ.ชัยนาท,โรงสีวังกระชาย,xxxxxxxxxx,xxx@gmail.com,0
สจจ.ขอนแก่น,บริษัท ขอนแก่น สหชัยมอเตอร์ เซลส์ จำกัด,043-324916,veryrich.good@gmail.com,1
สจจ.น่าน,ร้านสุวิทย์การไฟฟ้า,054775133,suview@hotmail.com,1
สจจ.นครพนม,บริษัท รวมกิจ เอเนอร์ยี่ จำกัด,087-0919451,xx@xx.xx.xx,0
สจจ.ระนอง,บริษัท มินเนอรัล รีซอร์สเซส ดีเวลลอปเม้นท์ จำกัด (สาขาระนอง),077-862440-1,doe_ranong@hotmail.com,1
สจจ.ระนอง,บริษัท ชินชนะ ดินขาว จำกัด (สาขาระนอง),"095-2595282,091-3246377",doe_ranong@hotmail.com,1
สจจ.ระนอง,บริษัท โกลด์เด้น ซีฟู้ด อินเตอร์เนชั่นแนล จำกัด,097-0096451,dkayou_ying@hotmail.com,1
สจจ.อุบลราชธานี,ห้างหุ้นส่วนจำกัด อาร์ เอส ที เอเชียแปซิฟิค,0835637674,t311728@gmail.com,1
สจจ.ขอนแก่น,บริษัท แก่นเจริญ จำกัด,043-306398-9,kaencharoen_hr@hotmail.co.th,1
สจจ.ปทุมธานี,บริษัท รชต โซล่าร์  จำกัด,089-1299324,rachatasolar@gmail.com,1
สจจ.ปทุมธานี,บริษัท แฮปปี้ มันเดย์ ไอที เซอร์วิส จำกัด,095-8918255,piyawat@happymonday.in.th,1
สจจ.เชียงใหม่,ห้างหุ้นส่วนจำกัด นายน์เพาเวอร์,0635202710,9power2016@gmail.com,1
สจจ.มหาสารคาม,บริษัท  มหาสารคาม เบเวอเรช จำกัด,043-748999,atchara_m@boonrawd.co.th,1
สจจ.สมุทรสงคราม,บริษัท ซิตี้ฟาร์ม อินเตอร์ฟู้ด  จำกัด,034-751457-9,doesmk75@gmail.com,1
